nn: false ; neighbourhood: swap ; cooling: geo ; alfa: 0.99 ; T_max: 1000
V;sredniczas[ms];sredniwzgledny;sredniWzg[%];sredniBezWzg
nn: false ; neighbourhood: swap ; cooling: geo ; alfa: 0.999 ; T_max: 10000
V;sredniczas[ms];sredniwzgledny;sredniWzg[%];sredniBezWzg
5;0.59;0.00;0.00;0.00;
6;0.59;0.00;0.00;0.00;
7;0.58;0.00;0.00;0.00;
8;2.25;0.00;0.00;0.00;
9;29.11;0.00;0.00;0.00;
10;160.26;0.00;0.09;0.20;
11;201.34;0.03;3.46;5.40;
12;194.37;0.06;5.54;9.80;
13;215.17;0.09;8.74;15.20;
5;0.59;0.00;0.00;0.00;
6;0.59;0.00;0.00;0.00;
7;0.82;0.00;0.00;0.00;
8;4.85;0.00;0.00;0.00;
9;60.50;0.00;0.15;2.00;
10;114.41;0.01;0.50;10.00;
11;161.16;0.01;0.68;19.00;
12;171.90;0.01;0.74;28.00;
13;241.69;0.01;0.76;38.00;
17;188.90;1.24;124.16;95.60;
34;296.67;1.44;143.97;1851.40;
65;263.43;2.82;281.98;5185.60;
100;386.85;3.27;327.10;118508.20;
171;560.70;7.24;723.93;19944.20;
14;192.45;0.14;13.85;460.20;
29;236.70;0.93;92.93;1496.20;
100;366.05;5.31;530.81;112966.00;
137;445.60;6.52;651.77;455279.20;
150;473.49;7.14;714.35;186660.20;
200;810.01;8.67;867.25;255291.60;
nn: false ; neighbourhood: swap ; cooling: geo ; alfa: 0.999 ; T_max: 100000
V;sredniczas[ms];sredniwzgledny;sredniWzg[%];sredniBezWzg
5;0.68;0.00;0.00;0.00;
6;0.60;0.00;0.00;0.00;
7;0.73;0.00;0.00;0.00;
8;2.78;0.00;0.00;0.00;
9;44.06;0.00;0.00;0.00;
10;156.60;0.02;1.51;3.20;
11;214.89;0.03;3.08;4.80;
12;186.38;0.05;5.31;9.40;
13;179.59;0.09;8.62;15.00;
5;0.64;0.00;0.00;0.00;
6;0.76;0.00;0.00;0.00;
7;0.57;0.00;0.00;0.00;
8;7.91;0.00;0.00;0.00;
9;46.16;0.00;0.15;2.00;
10;90.74;0.00;0.30;6.00;
11;190.61;0.01;0.61;17.00;
12;178.19;0.01;0.80;30.00;
13;213.31;0.01;0.80;40.00;
17;230.09;1.28;127.53;98.20;
34;185.69;1.46;146.31;1881.60;
65;322.80;2.81;281.03;5168.20;
100;357.98;3.25;324.68;117632.20;
171;481.95;7.34;733.65;20212.00;
14;175.67;0.14;14.32;475.80;
29;236.40;1.01;100.68;1621.00;
100;453.88;5.36;535.98;114067.40;
137;576.41;6.52;651.55;455125.20;
150;516.80;7.07;706.93;184721.60;
200;492.68;8.69;868.89;255775.20;
init: random ; neighbourhood: swap ; cooling: log ; T_max: 15
V;sredniczas[ms];sredniwzgledny;sredniWzg[%];sredniBezWzg
5;0.57;0.00;0.00;0.00;
6;0.58;0.00;0.00;0.00;
7;0.58;0.00;0.00;0.00;
8;1.71;0.00;0.00;0.00;
9;20.27;0.00;0.00;0.00;
10;77.58;0.01;0.75;1.60;
11;206.06;0.02;1.54;2.40;
12;211.22;0.04;4.07;7.20;
13;178.06;0.09;8.62;15.00;
5;0.54;0.00;0.00;0.00;
6;0.55;0.00;0.00;0.00;
7;0.57;0.00;0.00;0.00;
8;6.48;0.00;0.00;0.00;
9;17.79;0.00;0.00;0.00;
10;125.31;0.00;0.20;4.00;
11;145.67;0.00;0.43;12.00;
12;153.72;0.01;0.77;29.00;
13;159.23;0.01;0.74;37.00;
17;233.27;1.32;132.21;101.80;
34;286.68;1.40;139.92;1799.40;
65;238.68;2.80;280.05;5150.20;
