nn: false ; neighbourhood: swap ; cooling: geo ; alfa: 0.99 ; T_max: 1000
V;sredniczas[ms];sredniwzgledny;sredniWzg[%];sredniBezWzg
100;253.37;0.16;16.05;3416.00;
137;338.74;0.21;20.83;14553.00;
150;621.84;0.20;19.86;5189.00;
200;1040.95;0.20;19.82;5834.00;
nn: true ; neighbourhood: swap ; cooling: geo ; alfa: 0.99 ; T_max: 10000
V;sredniczas[ms];sredniwzgledny;sredniWzg[%];sredniBezWzg
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.07;0.00;0.00;0.00;
8;0.13;0.00;0.00;0.00;
9;0.22;0.00;0.00;0.00;
10;106.81;0.00;0.19;0.40;
11;112.88;0.03;2.56;4.00;
12;0.52;0.00;0.00;0.00;
13;117.38;0.02;2.30;4.00;
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.05;0.00;0.00;0.00;
8;0.08;0.00;0.00;0.00;
9;0.09;0.00;0.00;0.00;
10;0.12;0.00;0.00;0.00;
11;0.15;0.00;0.00;0.00;
12;0.19;0.00;0.00;0.00;
13;0.23;0.00;0.00;0.00;
17;123.98;0.27;27.27;21.00;
34;142.44;0.24;23.64;304.00;
65;190.61;0.20;19.74;363.00;
100;247.77;0.20;19.56;7086.00;
171;1976.06;0.28;28.20;777.00;
14;120.73;0.03;2.65;88.00;
29;964.68;0.20;20.19;325.00;
100;255.31;0.16;16.05;3416.00;
137;341.56;0.21;20.83;14553.00;
150;619.27;0.20;19.86;5189.00;
200;1042.84;0.20;19.82;5834.00;
nn: true ; neighbourhood: swap ; cooling: geo ; alfa: 0.99 ; T_max: 100000
V;sredniczas[ms];sredniwzgledny;sredniWzg[%];sredniBezWzg
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.07;0.00;0.00;0.00;
8;0.13;0.00;0.00;0.00;
9;0.33;0.00;0.00;0.00;
10;30.12;0.00;0.00;0.00;
11;115.47;0.03;2.56;4.00;
12;0.52;0.00;0.00;0.00;
13;118.99;0.02;2.30;4.00;
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.05;0.00;0.00;0.00;
8;0.07;0.00;0.00;0.00;
9;0.09;0.00;0.00;0.00;
10;0.13;0.00;0.00;0.00;
11;0.15;0.00;0.00;0.00;
12;0.19;0.00;0.00;0.00;
13;0.23;0.00;0.00;0.00;
17;124.57;0.27;27.27;21.00;
34;143.21;0.24;23.64;304.00;
65;190.49;0.20;19.74;363.00;
100;264.72;0.20;19.56;7086.00;
171;2054.91;0.28;28.20;777.00;
14;121.79;0.03;2.65;88.00;
29;802.52;0.20;20.19;325.00;
100;253.83;0.16;16.05;3416.00;
137;345.28;0.21;20.83;14553.00;
150;622.25;0.20;19.86;5189.00;
200;1062.70;0.20;19.82;5834.00;
nn: true ; neighbourhood: swap ; cooling: geo ; alfa: 0.995 ; T_max: 1000
V;sredniczas[ms];sredniwzgledny;sredniWzg[%];sredniBezWzg
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.07;0.00;0.00;0.00;
8;0.13;0.00;0.00;0.00;
9;0.22;0.00;0.00;0.00;
10;112.97;0.00;0.47;1.00;
11;117.48;0.02;2.44;3.80;
12;0.52;0.00;0.00;0.00;
13;117.53;0.02;2.30;4.00;
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.05;0.00;0.00;0.00;
8;0.07;0.00;0.00;0.00;
9;0.09;0.00;0.00;0.00;
10;0.13;0.00;0.00;0.00;
11;0.15;0.00;0.00;0.00;
12;0.19;0.00;0.00;0.00;
13;0.23;0.00;0.00;0.00;
17;122.87;0.27;27.27;21.00;
34;145.17;0.24;23.64;304.00;
65;189.26;0.20;19.74;363.00;
100;249.60;0.20;19.56;7086.00;
171;1984.26;0.28;28.20;777.00;
14;123.96;0.03;2.65;88.00;
29;635.80;0.20;20.19;325.00;
100;251.20;0.16;16.05;3416.00;
137;342.34;0.21;20.83;14553.00;
150;628.87;0.20;19.86;5189.00;
200;1052.56;0.20;19.82;5834.00;
nn: true ; neighbourhood: swap ; cooling: geo ; alfa: 0.995 ; T_max: 10000
V;sredniczas[ms];sredniwzgledny;sredniWzg[%];sredniBezWzg
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.07;0.00;0.00;0.00;
8;0.13;0.00;0.00;0.00;
9;0.22;0.00;0.00;0.00;
10;115.60;0.00;0.47;1.00;
11;115.94;0.03;2.56;4.00;
12;0.52;0.00;0.00;0.00;
13;121.20;0.02;2.30;4.00;
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.05;0.00;0.00;0.00;
8;0.07;0.00;0.00;0.00;
9;0.10;0.00;0.00;0.00;
10;0.12;0.00;0.00;0.00;
11;0.15;0.00;0.00;0.00;
12;0.19;0.00;0.00;0.00;
13;0.23;0.00;0.00;0.00;
17;126.00;0.27;27.27;21.00;
34;144.26;0.24;23.64;304.00;
65;193.54;0.20;19.74;363.00;
100;249.24;0.20;19.56;7086.00;
171;1986.37;0.28;28.20;777.00;
14;121.40;0.03;2.65;88.00;
29;1386.54;0.20;20.19;325.00;
100;254.15;0.16;16.05;3416.00;
137;337.52;0.21;20.83;14553.00;
150;619.02;0.20;19.86;5189.00;
200;1044.83;0.20;19.82;5834.00;
nn: true ; neighbourhood: swap ; cooling: geo ; alfa: 0.995 ; T_max: 100000
V;sredniczas[ms];sredniwzgledny;sredniWzg[%];sredniBezWzg
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.07;0.00;0.00;0.00;
8;0.13;0.00;0.00;0.00;
9;0.22;0.00;0.00;0.00;
10;113.00;0.00;0.47;1.00;
11;216.17;0.02;1.92;3.00;
12;0.53;0.00;0.00;0.00;
13;118.20;0.02;2.30;4.00;
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.05;0.00;0.00;0.00;
8;0.07;0.00;0.00;0.00;
9;0.09;0.00;0.00;0.00;
10;0.12;0.00;0.00;0.00;
11;0.15;0.00;0.00;0.00;
12;0.19;0.00;0.00;0.00;
13;0.23;0.00;0.00;0.00;
17;124.44;0.27;27.27;21.00;
34;145.12;0.24;23.64;304.00;
65;192.53;0.20;19.74;363.00;
100;250.05;0.20;19.56;7086.00;
171;1982.48;0.28;28.20;777.00;
14;122.34;0.03;2.65;88.00;
29;1194.31;0.20;20.19;325.00;
100;248.11;0.16;16.05;3416.00;
137;342.92;0.21;20.83;14553.00;
150;625.02;0.20;19.86;5189.00;
200;1043.32;0.20;19.82;5834.00;
nn: true ; neighbourhood: swap ; cooling: geo ; alfa: 0.999 ; T_max: 1000
V;sredniczas[ms];sredniwzgledny;sredniWzg[%];sredniBezWzg
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.07;0.00;0.00;0.00;
8;0.13;0.00;0.00;0.00;
9;0.22;0.00;0.00;0.00;
10;114.45;0.00;0.47;1.00;
11;174.02;0.02;2.18;3.40;
12;0.51;0.00;0.00;0.00;
13;118.95;0.02;2.30;4.00;
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.05;0.00;0.00;0.00;
8;0.07;0.00;0.00;0.00;
9;0.10;0.00;0.00;0.00;
10;0.12;0.00;0.00;0.00;
11;0.15;0.00;0.00;0.00;
12;0.19;0.00;0.00;0.00;
13;0.23;0.00;0.00;0.00;
17;124.56;0.27;27.27;21.00;
34;143.81;0.24;23.64;304.00;
65;190.25;0.20;19.74;363.00;
100;249.21;0.20;19.56;7086.00;
171;1970.19;0.28;28.20;777.00;
14;121.37;0.03;2.65;88.00;
29;919.32;0.20;20.19;325.00;
100;250.65;0.16;16.05;3416.00;
137;338.35;0.21;20.83;14553.00;
150;619.51;0.20;19.86;5189.00;
200;1044.56;0.20;19.82;5834.00;
nn: true ; neighbourhood: swap ; cooling: geo ; alfa: 0.999 ; T_max: 10000
V;sredniczas[ms];sredniwzgledny;sredniWzg[%];sredniBezWzg
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.07;0.00;0.00;0.00;
8;0.13;0.00;0.00;0.00;
9;0.22;0.00;0.00;0.00;
10;95.91;0.00;0.00;0.00;
11;143.61;0.02;2.18;3.40;
12;0.53;0.00;0.00;0.00;
13;119.70;0.02;2.30;4.00;
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.05;0.00;0.00;0.00;
8;0.07;0.00;0.00;0.00;
9;0.09;0.00;0.00;0.00;
10;0.12;0.00;0.00;0.00;
11;0.15;0.00;0.00;0.00;
12;0.19;0.00;0.00;0.00;
13;0.23;0.00;0.00;0.00;
17;124.52;0.27;27.27;21.00;
34;143.23;0.24;23.64;304.00;
65;188.94;0.20;19.74;363.00;
100;246.13;0.20;19.56;7086.00;
171;1967.08;0.28;28.20;777.00;
14;119.32;0.03;2.65;88.00;
29;759.58;0.20;20.19;325.00;
100;254.50;0.16;16.05;3416.00;
137;340.66;0.21;20.83;14553.00;
150;621.06;0.20;19.86;5189.00;
200;1046.61;0.20;19.82;5834.00;
nn: true ; neighbourhood: swap ; cooling: geo ; alfa: 0.999 ; T_max: 100000
V;sredniczas[ms];sredniwzgledny;sredniWzg[%];sredniBezWzg
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.07;0.00;0.00;0.00;
8;0.13;0.00;0.00;0.00;
9;0.22;0.00;0.00;0.00;
10;112.93;0.00;0.47;1.00;
11;144.36;0.02;1.67;2.60;
12;0.52;0.00;0.00;0.00;
13;120.32;0.02;2.30;4.00;
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.05;0.00;0.00;0.00;
8;0.07;0.00;0.00;0.00;
9;0.10;0.00;0.00;0.00;
10;0.12;0.00;0.00;0.00;
11;0.15;0.00;0.00;0.00;
12;0.19;0.00;0.00;0.00;
13;0.23;0.00;0.00;0.00;
17;125.22;0.27;27.27;21.00;
34;145.22;0.24;23.64;304.00;
65;187.38;0.20;19.74;363.00;
100;243.76;0.20;19.56;7086.00;
171;1979.89;0.28;28.20;777.00;
14;122.15;0.03;2.65;88.00;
29;1026.40;0.20;20.19;325.00;
100;250.13;0.16;16.05;3416.00;
137;339.87;0.21;20.83;14553.00;
150;626.84;0.20;19.86;5189.00;
200;1047.58;0.20;19.82;5834.00;
init: nn ; neighbourhood: swap ; cooling: log ; T_max: 15
V;sredniczas[ms];sredniwzgledny;sredniWzg[%];sredniBezWzg
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.07;0.00;0.00;0.00;
8;0.13;0.00;0.00;0.00;
9;0.21;0.00;0.00;0.00;
10;115.42;0.00;0.47;1.00;
11;118.80;0.03;2.56;4.00;
12;0.52;0.00;0.00;0.00;
13;121.56;0.02;2.30;4.00;
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.05;0.00;0.00;0.00;
8;0.07;0.00;0.00;0.00;
9;0.10;0.00;0.00;0.00;
10;0.12;0.00;0.00;0.00;
11;0.15;0.00;0.00;0.00;
12;0.20;0.00;0.00;0.00;
13;0.23;0.00;0.00;0.00;
17;127.64;0.27;27.27;21.00;
34;144.54;0.24;23.64;304.00;
65;186.15;0.20;19.74;363.00;
100;243.64;0.20;19.56;7086.00;
171;1980.52;0.28;28.20;777.00;
14;122.93;0.03;2.65;88.00;
29;1488.74;0.20;20.19;325.00;
100;252.30;0.16;16.05;3416.00;
137;338.87;0.21;20.83;14553.00;
150;623.89;0.20;19.86;5189.00;
200;1041.83;0.20;19.82;5834.00;
init: nn ; neighbourhood: swap ; cooling: log ; T_max: 20
V;sredniczas[ms];sredniwzgledny;sredniWzg[%];sredniBezWzg
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.07;0.00;0.00;0.00;
8;0.13;0.00;0.00;0.00;
9;0.22;0.00;0.00;0.00;
10;60.39;0.00;0.00;0.00;
11;179.71;0.01;1.41;2.20;
12;0.52;0.00;0.00;0.00;
13;121.66;0.02;2.30;4.00;
5;0.03;0.00;0.00;0.00;
6;0.05;0.00;0.00;0.00;
7;0.05;0.00;0.00;0.00;
8;0.07;0.00;0.00;0.00;
9;0.10;0.00;0.00;0.00;
10;0.12;0.00;0.00;0.00;
11;0.15;0.00;0.00;0.00;
12;0.19;0.00;0.00;0.00;
13;0.24;0.00;0.00;0.00;
17;127.13;0.27;27.27;21.00;
34;146.58;0.24;23.64;304.00;
65;189.80;0.20;19.74;363.00;
100;245.41;0.20;19.56;7086.00;
171;1974.77;0.28;28.20;777.00;
14;119.51;0.03;2.65;88.00;
29;695.16;0.20;20.19;325.00;
100;250.71;0.16;16.05;3416.00;
137;340.60;0.21;20.83;14553.00;
150;625.90;0.20;19.86;5189.00;
200;1048.46;0.20;19.82;5834.00;
init: nn ; neighbourhood: swap ; cooling: log ; T_max: 30
V;sredniczas[ms];sredniwzgledny;sredniWzg[%];sredniBezWzg
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.07;0.00;0.00;0.00;
8;0.13;0.00;0.00;0.00;
9;0.22;0.00;0.00;0.00;
10;6.53;0.00;0.00;0.00;
11;142.58;0.02;2.31;3.60;
12;0.52;0.00;0.00;0.00;
13;123.10;0.02;2.30;4.00;
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.05;0.00;0.00;0.00;
8;0.07;0.00;0.00;0.00;
9;0.10;0.00;0.00;0.00;
10;0.12;0.00;0.00;0.00;
11;0.15;0.00;0.00;0.00;
12;0.19;0.00;0.00;0.00;
13;0.23;0.00;0.00;0.00;
17;127.07;0.27;27.27;21.00;
34;146.94;0.24;23.64;304.00;
65;191.08;0.20;19.74;363.00;
100;245.82;0.20;19.56;7086.00;
171;1977.73;0.28;28.20;777.00;
14;120.49;0.03;2.65;88.00;
29;1321.78;0.20;20.19;325.00;
100;253.99;0.16;16.05;3416.00;
137;340.36;0.21;20.83;14553.00;
150;617.41;0.20;19.86;5189.00;
200;1044.25;0.20;19.82;5834.00;
nn: true ; neighbourhood: swap ; tabu list size: 20 ; cadence: 10
V;sredniczas[ms];sredniwzgledny;sredniWzg[%];sredniBezWzg
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.07;0.00;0.00;0.00;
8;0.13;0.00;0.00;0.00;
9;0.22;0.00;0.00;0.00;
10;0.14;0.00;0.00;0.00;
11;8.25;0.01;1.28;2.00;
12;0.52;0.00;0.00;0.00;
13;12.35;0.01;1.15;2.00;
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.05;0.00;0.00;0.00;
8;0.07;0.00;0.00;0.00;
9;0.10;0.00;0.00;0.00;
10;0.12;0.00;0.00;0.00;
11;0.15;0.00;0.00;0.00;
12;0.19;0.00;0.00;0.00;
13;0.23;0.00;0.00;0.00;
17;22.88;0.03;2.60;2.00;
34;99.33;0.17;17.19;221.00;
65;469.96;0.16;15.66;288.00;
100;1364.47;0.13;13.00;4711.00;
171;22527.52;0.26;25.77;710.00;
14;15.11;0.01;1.32;44.00;
29;72.26;0.14;13.60;219.00;
100;1353.26;0.06;6.12;1303.00;
137;2878.10;0.19;18.72;13073.00;
150;4055.28;0.14;13.74;3589.00;
200;8785.96;0.16;15.89;4679.00;
nn: true ; neighbourhood: swap ; tabu list size: 20 ; cadence: 50
V;sredniczas[ms];sredniwzgledny;sredniWzg[%];sredniBezWzg
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.07;0.00;0.00;0.00;
8;0.13;0.00;0.00;0.00;
9;0.21;0.00;0.00;0.00;
10;0.14;0.00;0.00;0.00;
11;13.17;0.01;1.28;2.00;
12;0.53;0.00;0.00;0.00;
13;22.23;0.01;0.57;1.00;
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.05;0.00;0.00;0.00;
8;0.07;0.00;0.00;0.00;
9;0.10;0.00;0.00;0.00;
10;0.12;0.00;0.00;0.00;
11;0.15;0.00;0.00;0.00;
12;0.19;0.00;0.00;0.00;
13;0.23;0.00;0.00;0.00;
17;35.28;0.03;2.60;2.00;
34;144.52;0.17;17.19;221.00;
65;646.34;0.16;15.66;288.00;
100;2419.44;0.12;11.78;4269.00;
171;19949.90;0.26;25.77;710.00;
14;22.20;0.01;1.32;44.00;
29;101.98;0.14;13.60;219.00;
100;1806.18;0.06;6.12;1303.00;
137;3641.67;0.19;18.72;13073.00;
150;5154.97;0.14;13.74;3589.00;
200;12693.52;0.15;15.19;4471.00;
nn: true ; neighbourhood: swap ; tabu list size: 20 ; cadence: 100
V;sredniczas[ms];sredniwzgledny;sredniWzg[%];sredniBezWzg
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.07;0.00;0.00;0.00;
8;0.13;0.00;0.00;0.00;
9;0.23;0.00;0.00;0.00;
10;0.14;0.00;0.00;0.00;
11;13.21;0.01;1.28;2.00;
12;0.52;0.00;0.00;0.00;
13;21.76;0.01;0.57;1.00;
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.06;0.00;0.00;0.00;
8;0.08;0.00;0.00;0.00;
9;0.10;0.00;0.00;0.00;
10;0.12;0.00;0.00;0.00;
11;0.16;0.00;0.00;0.00;
12;0.19;0.00;0.00;0.00;
13;0.23;0.00;0.00;0.00;
17;34.23;0.03;2.60;2.00;
34;144.54;0.17;17.19;221.00;
65;663.04;0.16;15.66;288.00;
100;8437.47;0.12;11.78;4269.00;
171;7902.02;0.26;25.77;710.00;
14;22.42;0.01;1.32;44.00;
29;103.75;0.14;13.60;219.00;
100;7421.25;0.06;6.12;1303.00;
137;3618.72;0.19;18.72;13073.00;
150;5152.06;0.14;13.74;3589.00;
200;12658.96;0.15;15.19;4471.00;
nn: true ; neighbourhood: swap ; tabu list size: 50 ; cadence: 10
V;sredniczas[ms];sredniwzgledny;sredniWzg[%];sredniBezWzg
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.07;0.00;0.00;0.00;
8;0.13;0.00;0.00;0.00;
9;0.22;0.00;0.00;0.00;
10;0.14;0.00;0.00;0.00;
11;8.58;0.01;1.28;2.00;
12;0.53;0.00;0.00;0.00;
13;12.56;0.01;1.15;2.00;
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.05;0.00;0.00;0.00;
8;0.07;0.00;0.00;0.00;
9;0.10;0.00;0.00;0.00;
10;0.12;0.00;0.00;0.00;
11;0.15;0.00;0.00;0.00;
12;0.19;0.00;0.00;0.00;
13;0.23;0.00;0.00;0.00;
17;23.15;0.03;2.60;2.00;
34;100.39;0.17;17.19;221.00;
65;473.40;0.16;15.66;288.00;
100;1391.93;0.13;13.00;4711.00;
171;23095.18;0.26;25.77;710.00;
14;15.21;0.01;1.32;44.00;
29;71.34;0.14;13.60;219.00;
100;1323.98;0.06;6.12;1303.00;
137;2914.47;0.19;18.72;13073.00;
150;4052.46;0.14;13.74;3589.00;
200;8733.21;0.16;15.89;4679.00;
nn: true ; neighbourhood: swap ; tabu list size: 50 ; cadence: 50
V;sredniczas[ms];sredniwzgledny;sredniWzg[%];sredniBezWzg
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.07;0.00;0.00;0.00;
8;0.14;0.00;0.00;0.00;
9;0.22;0.00;0.00;0.00;
10;0.14;0.00;0.00;0.00;
11;1.94;0.00;0.00;0.00;
12;0.52;0.00;0.00;0.00;
13;38.96;0.01;0.57;1.00;
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.05;0.00;0.00;0.00;
8;0.07;0.00;0.00;0.00;
9;0.10;0.00;0.00;0.00;
10;0.12;0.00;0.00;0.00;
11;0.15;0.00;0.00;0.00;
12;0.19;0.00;0.00;0.00;
13;0.24;0.00;0.00;0.00;
17;61.90;0.03;2.60;2.00;
34;255.64;0.17;17.19;221.00;
65;1274.22;0.14;14.25;262.00;
100;3923.07;0.12;11.78;4269.00;
171;11064.20;0.26;25.77;710.00;
14;40.12;0.01;1.32;44.00;
29;327.43;0.10;10.00;161.00;
100;2860.21;0.06;6.12;1303.00;
137;5679.96;0.19;18.72;13073.00;
150;19441.02;0.14;13.74;3589.00;
200;18527.43;0.15;15.19;4471.00;
nn: true ; neighbourhood: swap ; tabu list size: 50 ; cadence: 100
V;sredniczas[ms];sredniwzgledny;sredniWzg[%];sredniBezWzg
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.07;0.00;0.00;0.00;
8;0.13;0.00;0.00;0.00;
9;0.22;0.00;0.00;0.00;
10;0.14;0.00;0.00;0.00;
11;1.93;0.00;0.00;0.00;
12;0.52;0.00;0.00;0.00;
13;39.24;0.01;0.57;1.00;
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.05;0.00;0.00;0.00;
8;0.07;0.00;0.00;0.00;
9;0.10;0.00;0.00;0.00;
10;0.12;0.00;0.00;0.00;
11;0.15;0.00;0.00;0.00;
12;0.19;0.00;0.00;0.00;
13;0.23;0.00;0.00;0.00;
17;62.64;0.03;2.60;2.00;
34;255.90;0.17;17.19;221.00;
65;1290.08;0.14;14.25;262.00;
100;3982.50;0.12;11.78;4269.00;
171;11261.02;0.26;25.77;710.00;
14;40.01;0.01;1.32;44.00;
29;178.97;0.14;13.60;219.00;
100;2879.74;0.06;6.12;1303.00;
137;5768.29;0.19;18.72;13073.00;
150;7994.59;0.14;13.74;3589.00;
200;18700.50;0.15;15.19;4471.00;
nn: true ; neighbourhood: swap ; tabu list size: 100 ; cadence: 10
V;sredniczas[ms];sredniwzgledny;sredniWzg[%];sredniBezWzg
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.07;0.00;0.00;0.00;
8;0.13;0.00;0.00;0.00;
9;0.22;0.00;0.00;0.00;
10;0.14;0.00;0.00;0.00;
11;8.57;0.01;1.28;2.00;
12;0.52;0.00;0.00;0.00;
13;12.54;0.01;1.15;2.00;
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.05;0.00;0.00;0.00;
8;0.07;0.00;0.00;0.00;
9;0.10;0.00;0.00;0.00;
10;0.12;0.00;0.00;0.00;
11;0.16;0.00;0.00;0.00;
12;0.19;0.00;0.00;0.00;
13;0.23;0.00;0.00;0.00;
17;23.17;0.03;2.60;2.00;
34;101.01;0.17;17.19;221.00;
65;470.03;0.16;15.66;288.00;
100;1383.99;0.13;13.00;4711.00;
171;22444.35;0.26;25.77;710.00;
14;15.03;0.01;1.32;44.00;
29;71.08;0.14;13.60;219.00;
100;1358.35;0.06;6.12;1303.00;
137;2834.61;0.19;18.72;13073.00;
150;4045.44;0.14;13.74;3589.00;
200;8667.15;0.16;15.89;4679.00;
nn: true ; neighbourhood: swap ; tabu list size: 100 ; cadence: 50
V;sredniczas[ms];sredniwzgledny;sredniWzg[%];sredniBezWzg
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.07;0.00;0.00;0.00;
8;0.13;0.00;0.00;0.00;
9;0.22;0.00;0.00;0.00;
10;0.14;0.00;0.00;0.00;
11;1.94;0.00;0.00;0.00;
12;0.53;0.00;0.00;0.00;
13;38.63;0.01;0.57;1.00;
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.05;0.00;0.00;0.00;
8;0.07;0.00;0.00;0.00;
9;0.09;0.00;0.00;0.00;
10;0.12;0.00;0.00;0.00;
11;0.16;0.00;0.00;0.00;
12;0.19;0.00;0.00;0.00;
13;0.23;0.00;0.00;0.00;
17;61.69;0.03;2.60;2.00;
34;253.13;0.17;17.19;221.00;
65;1290.01;0.14;14.25;262.00;
100;3935.92;0.12;11.78;4269.00;
171;11164.62;0.26;25.77;710.00;
14;40.10;0.01;1.32;44.00;
29;327.05;0.10;10.00;161.00;
100;2851.48;0.06;6.12;1303.00;
137;5694.40;0.19;18.72;13073.00;
150;18427.44;0.14;13.74;3589.00;
200;18648.39;0.15;15.19;4471.00;
nn: true ; neighbourhood: swap ; tabu list size: 100 ; cadence: 100
V;sredniczas[ms];sredniwzgledny;sredniWzg[%];sredniBezWzg
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.07;0.00;0.00;0.00;
8;0.13;0.00;0.00;0.00;
9;0.22;0.00;0.00;0.00;
10;0.14;0.00;0.00;0.00;
11;1.83;0.00;0.00;0.00;
12;0.52;0.00;0.00;0.00;
13;62.05;0.01;0.57;1.00;
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.05;0.00;0.00;0.00;
8;0.08;0.00;0.00;0.00;
9;0.10;0.00;0.00;0.00;
10;0.13;0.00;0.00;0.00;
11;0.15;0.00;0.00;0.00;
12;0.19;0.00;0.00;0.00;
13;0.23;0.00;0.00;0.00;
17;98.23;0.03;2.60;2.00;
34;392.13;0.17;17.19;221.00;
65;2000.61;0.14;14.25;262.00;
100;6104.07;0.12;11.78;4269.00;
171;15387.29;0.26;25.77;710.00;
14;63.62;0.01;1.32;44.00;
29;496.42;0.10;10.00;161.00;
100;4223.06;0.06;6.12;1303.00;
137;7941.07;0.19;18.72;13073.00;
150;11504.81;0.14;13.74;3589.00;
200;26780.80;0.15;15.19;4471.00;
nn: true ; neighbourhood: 2opt ; cooling: geo ; alfa: 0.99 ; T_max: 1000
V;sredniczas[ms];sredniwzgledny;sredniWzg[%];sredniBezWzg
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.07;0.00;0.00;0.00;
8;0.17;0.00;0.00;0.00;
9;0.21;0.00;0.00;0.00;
10;30.82;0.00;0.00;0.00;
11;132.05;0.02;1.92;3.00;
12;0.53;0.00;0.00;0.00;
13;138.66;0.02;2.30;4.00;
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.05;0.00;0.00;0.00;
8;0.07;0.00;0.00;0.00;
9;0.10;0.00;0.00;0.00;
10;0.13;0.00;0.00;0.00;
11;0.15;0.00;0.00;0.00;
12;0.19;0.00;0.00;0.00;
13;0.23;0.00;0.00;0.00;
17;146.79;0.27;27.27;21.00;
34;174.41;0.24;23.64;304.00;
65;234.51;0.20;19.74;363.00;
100;305.99;0.20;19.56;7086.00;
171;2078.62;0.28;28.20;777.00;
14;143.96;0.03;2.65;88.00;
29;1477.51;0.20;20.19;325.00;
100;313.90;0.16;16.05;3416.00;
137;418.29;0.21;20.83;14553.00;
150;709.70;0.20;19.86;5189.00;
200;1158.16;0.20;19.82;5834.00;
nn: true ; neighbourhood: 2opt ; cooling: geo ; alfa: 0.99 ; T_max: 10000
V;sredniczas[ms];sredniwzgledny;sredniWzg[%];sredniBezWzg
5;0.06;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.07;0.00;0.00;0.00;
8;0.13;0.00;0.00;0.00;
9;0.22;0.00;0.00;0.00;
10;94.59;0.00;0.00;0.00;
11;160.08;0.02;2.31;3.60;
12;0.52;0.00;0.00;0.00;
13;137.37;0.02;2.30;4.00;
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.05;0.00;0.00;0.00;
8;0.07;0.00;0.00;0.00;
9;0.10;0.00;0.00;0.00;
10;0.12;0.00;0.00;0.00;
11;0.15;0.00;0.00;0.00;
12;0.19;0.00;0.00;0.00;
13;0.23;0.00;0.00;0.00;
17;147.20;0.27;27.27;21.00;
34;175.21;0.24;23.64;304.00;
